Estimate,Std. Error,t value,Pr(>|t|),Protein
0.722677811126452,0.0306948800339695,23.5439203647865,8.89272541822684e-122,a1bg
0.277009699531545,0.0103022750686879,26.8882065062959,7.1247285711163e-158,aamdc
0.0909668847878977,0.00842760950759121,10.7939131145029,3.95036143992227e-27,aarsd1
0.10905631792511,0.0152718616592572,7.14099697589941,9.42056914834459e-13,abca2
0.158630676258556,0.00818164919408817,19.3885942180432,2.0140401495297e-83,abhd14b
0.151875976092823,0.0069272824864806,21.9243226170186,5.0310028355864e-106,abl1
0.0229103581365867,0.00370750504205609,6.17945434374411,6.49118871701021e-10,abo
0.103709453293756,0.00837012599508362,12.3904291709195,3.40857197760731e-35,abraxas2
0.0909721836873307,0.0057592858794736,15.7957402343163,4.63274337388385e-56,acaa1
0.00574359818688252,0.00780931843523432,0.735480085044091,0.462051338678406,acadm
0.125663373032081,0.00601692706083959,20.8849752974313,2.26507480006626e-96,acadsb
0.602041127045,0.0162131803135916,37.1328212849336,1.42414688914309e-297,acan
-0.155523713742757,0.0202348685199415,-7.68592657716002,1.55180190799104e-14,ace
0.0907196687483169,0.00919108165435582,9.87040178294175,5.8860879334231e-23,ace2
0.115631905192378,0.0164455836451123,7.03118282012113,2.07977312520482e-12,ache
0.0257890561193248,0.00475855703313428,5.41951182674772,6.00909004840282e-08,acot13
0.104715154178657,0.00943787759615674,11.0952015547753,1.43307775921407e-28,acox1
0.130518774915718,0.0122132319929227,10.6866695884718,1.2744016916873e-26,acp1
0.420207547182824,0.0138903079604197,30.2518524700965,3.51045217628342e-199,acp5
0.102603559066807,0.00684075234805274,14.9988705695528,9.693686038752e-51,acp6
0.150987289501709,0.0139345812370582,10.8354378888808,2.54208168234465e-27,acrbp
-0.0562631854885724,0.00718106027393837,-7.8349412680414,4.80354038203176e-15,acrv1
-0.0139106054604651,0.0149268293895898,-0.93191963928834,0.351383585972804,acsl1
-0.0246922460351471,0.0108427046707447,-2.27731426659352,0.0227718892627488,acta2
-0.0622039808042568,0.00926514114613216,-6.71376504935649,1.92151365449233e-11,actn2
0.00990480812408295,0.0149173442427011,0.663979322521116,0.50670677014157,actn4
0.109755247643794,0.0185589405999384,5.9138746122264,3.36408755605785e-09,acvrl1
0.157933324491981,0.00751704582437827,21.0100255049388,1.45160611002977e-97,acy1
-0.0988271898286434,0.00979436547773081,-10.0902085033833,6.51272876122072e-24,acy3
0.156654297423731,0.00840841907705449,18.6306481620571,3.78238784796057e-77,acyp1
0.155658579885895,0.0131889161132282,11.8022268509065,4.20262211886861e-32,ada
-0.273119455002561,0.0108818697216077,-25.0985779089267,4.00744902137996e-138,ada2
-0.0837990074033483,0.0158549746099246,-5.2853447870483,1.26111205294761e-07,adam12
-0.177227284190096,0.0152982495385665,-11.5848080359332,5.41650128922149e-31,adam15
-0.0334161867861436,0.0132778119125532,-2.5166937900778,0.0118494011058879,adam22
0.0440341388420654,0.0130333378449071,3.3785772582633,0.000729187828448012,adam23
-0.165871914987244,0.0160399831195727,-10.3411527151072,4.87172531620895e-25,adam8
-0.269904492798056,0.0180170876244184,-14.9804728946457,1.33242631733345e-50,adam9
0.0439732315518258,0.0173420109307948,2.53564778198479,0.0112276516922851,adamts1
0.152187175192061,0.0197754816488176,7.6957506216371,1.43290944423284e-14,adamts13
0.253605005307591,0.0105555597670508,24.0257277590544,8.36251255896165e-127,adamts15
0.0144778032406457,0.0147836298116383,0.979313160915877,0.327430256065215,adamts16
0.131346431343175,0.0153013746906651,8.58396281370101,9.48381540546121e-18,adamts4
0.12223903926928,0.0101444735334884,12.0498159777095,2.16937450515348e-33,adamts8
-0.160858275120889,0.0163712106005431,-9.8256799112677,9.23497533633002e-23,adamtsl2
0.281391571299031,0.0230437859797211,12.2111692734284,3.10809781838106e-34,adamtsl4
-0.0623088631249262,0.0136033444012526,-4.58040767674668,4.65399086353281e-06,adamtsl5
0.0455624464634581,0.013518166378445,3.37046054826699,0.000751026502365781,adcyap1r1
0.126597502065535,0.0078507347079064,16.1255610813138,2.54879018428318e-58,add1
-0.0188812852291796,0.0140195928312213,-1.34677843047848,0.178057964564204,adgrb3
0.410942844525575,0.0138927929400173,29.5795702347135,2.72326161709212e-190,adgrd1
-0.0799719743365229,0.00977515671097271,-8.18114498837176,2.88993753965636e-16,adgre1
-0.121093689577613,0.0161930252214941,-7.47813876167353,7.66485285446264e-14,adgre2
-0.177116871447616,0.0150683622958454,-11.7542217243111,7.41776709748467e-32,adgre5
0.295311618242306,0.018776717507978,15.7275422670034,1.410808686939e-55,adgrf5
-0.28773517916035,0.00665477620502198,-43.2373937598702,0,adgrg1
0.706003900690515,0.0168684938059082,41.853404863168,0,adgrg2
-0.00149006216160559,0.00785368218726049,-0.189727840530984,0.84952334852771,adgrv1
0.163037647207737,0.00720306787493182,22.6344732603648,9.71964533802841e-113,adh1b
0.119121498331872,0.00560690715698925,21.24549149764,1.0579741872926e-99,adh4
0.0824812806946612,0.00788666337584791,10.4583239785854,1.44253000314901e-25,adipoq
0.0203264587771493,0.0172761844825536,1.17655948844932,0.239377108369869,adm
-0.0302202923365612,0.00762594513601095,-3.96282582651376,7.4194106002816e-05,adra2a
0.0662604924079326,0.00652993721446394,10.1471867541336,3.6417604211263e-24,afap1
0.870560828063619,0.0271218192024321,32.0981723816503,2.330512849924e-223,afm
0.223963119316035,0.0068210645719485,32.8340418058904,7.66522562084586e-234,afp
0.029078744397515,0.00606281126068922,4.79624767243856,1.62235975090891e-06,agbl2
0.00345888007486124,0.0114851206092115,0.301161841703873,0.76329238351716,ager
